Accounting Date,masked_column
2/2/2024,2559
2/2/2024,12
2/2/2024,10
2/2/2024,0
2/3/2024,5
2/4/2024,25
2/4/2024,11
2/5/2024,1
2/6/2024,156
2/6/2024,1017
2/6/2024,1627
2/6/2024,1029
2/7/2024,63
2/8/2024,103
2/10/2024,24
2/10/2024,10
2/12/2024,10
2/13/2024,5
2/14/2024,6
2/15/2024,12
2/15/2024,793
2/15/2024,5
2/15/2024,6
2/15/2024,886
2/16/2024,73
2/16/2024,6
2/16/2024,47
2/16/2024,33
2/16/2024,12
2/16/2024,10
2/16/2024,21258
2/16/2024,30858
2/17/2024,11
2/17/2024,11
2/17/2024,7
2/17/2024,10
2/17/2024,5
2/18/2024,44
2/18/2024,24
2/18/2024,10
2/18/2024,6
2/18/2024,2
2/19/2024,6
2/19/2024,5
2/20/2024,6
2/20/2024,12598
2/20/2024,62
2/20/2024,175
2/20/2024,20156
2/20/2024,5769
2/20/2024,60
2/20/2024,11
2/21/2024,1929
2/24/2024,22
2/24/2024,12
2/24/2024,6
2/25/2024,11
2/25/2024,34
2/25/2024,12
2/26/2024,7030
2/27/2024,6
2/27/2024,10
2/28/2024,153
2/29/2024,281
2/29/2024,46
2/29/2024,16
3/1/2024,10
3/1/2024,6
3/1/2024,29
3/2/2024,6
3/2/2024,6
3/6/2024,22
3/6/2024,11
3/6/2024,11
3/6/2024,13
3/7/2024,340
3/7/2024,154
3/7/2024,5125
3/8/2024,29
3/8/2024,25
3/8/2024,26
3/8/2024,23
3/9/2024,6
3/11/2024,29
3/12/2024,21373
3/15/2024,12
3/15/2024,26
3/15/2024,11
3/15/2024,0
3/18/2024,12
3/19/2024,5193
3/19/2024,5099
3/19/2024,10378
3/19/2024,11566
3/19/2024,10
3/19/2024,397
3/21/2024,31
3/22/2024,5
3/22/2024,41
3/22/2024,32
3/22/2024,35
3/22/2024,0
3/22/2024,0
3/23/2024,6
3/26/2024,10
3/27/2024,131
3/28/2024,71
3/28/2024,267
3/28/2024,3961
3/28/2024,119
3/28/2024,9
3/31/2024,6855
3/31/2024,35
4/2/2024,50
4/2/2024,7
4/4/2024,5
4/5/2024,6
4/5/2024,9
4/7/2024,6
4/8/2024,25
4/8/2024,12
4/9/2024,11
4/10/2024,6
4/10/2024,3
4/11/2024,40
4/11/2024,11
4/12/2024,12
4/14/2024,153
4/14/2024,22
4/16/2024,10
4/16/2024,12
4/17/2024,2331
4/17/2024,2951
4/17/2024,150
4/17/2024,1
4/17/2024,456
4/17/2024,3728
4/18/2024,5854
4/24/2024,10
4/24/2024,10
4/24/2024,5
4/25/2024,120
4/29/2024,114
4/30/2024,4145
4/30/2024,452
4/30/2024,540
4/30/2024,4
5/1/2024,27
5/1/2024,50
5/1/2024,35
5/1/2024,0
5/1/2024,0
5/3/2024,11
5/4/2024,10
5/5/2024,26
5/5/2024,11
5/5/2024,8
5/7/2024,5
5/9/2024,47
5/10/2024,450
5/10/2024,25
5/11/2024,354
5/14/2024,160
5/15/2024,24
5/16/2024,6476
5/16/2024,12
5/17/2024,6
5/17/2024,5558
5/17/2024,29
5/21/2024,17
5/21/2024,9
5/21/2024,5884
5/23/2024,4
5/24/2024,12
5/24/2024,38
5/24/2024,23
5/24/2024,11
5/24/2024,13
5/28/2024,1
5/28/2024,94
5/28/2024,3900
5/28/2024,47
5/28/2024,48
5/28/2024,194
5/28/2024,105
5/28/2024,53
5/28/2024,48
5/28/2024,50
5/28/2024,113
5/28/2024,36
5/28/2024,105
5/28/2024,101
5/28/2024,102
5/28/2024,107
5/28/2024,90
5/29/2024,10
5/29/2024,42
5/29/2024,11
5/29/2024,6
5/30/2024,10
5/30/2024,2894
5/31/2024,0
5/31/2024,8536
5/31/2024,23
5/31/2024,24
6/3/2024,12
6/4/2024,955
6/5/2024,12
6/7/2024,70
6/8/2024,50
6/9/2024,11
6/10/2024,6
6/11/2024,4655
6/11/2024,477
6/11/2024,342
6/11/2024,24
6/12/2024,468
6/14/2024,27
6/14/2024,11
6/14/2024,24
6/15/2024,10
6/15/2024,10
6/15/2024,23
6/16/2024,11
6/17/2024,29
6/17/2024,33
6/17/2024,22
6/17/2024,151
6/20/2024,4461
6/20/2024,1446
6/21/2024,1777
6/21/2024,10882
6/23/2024,12
6/25/2024,10
6/25/2024,6
6/25/2024,996
6/25/2024,435
6/27/2024,6
6/27/2024,9
6/27/2024,55
6/27/2024,10
6/28/2024,719
6/30/2024,75
6/30/2024,5970
7/2/2024,1086
7/3/2024,25
7/3/2024,20
7/3/2024,25
7/3/2024,31
7/6/2024,52
7/6/2024,157
7/6/2024,6
7/7/2024,62
7/7/2024,49
7/7/2024,197
7/7/2024,646
7/7/2024,349
7/7/2024,27
7/7/2024,332
7/7/2024,296
7/7/2024,3502
7/7/2024,303
7/7/2024,285
7/7/2024,383
7/7/2024,135
7/7/2024,281
7/7/2024,61
7/7/2024,2358
7/7/2024,3452
7/7/2024,334
7/7/2024,225
7/7/2024,334
7/7/2024,224
7/7/2024,188
7/7/2024,1192
7/7/2024,344
7/7/2024,511
7/8/2024,2
7/9/2024,710
7/9/2024,31
7/9/2024,32
7/9/2024,125
7/9/2024,324
7/9/2024,256
7/9/2024,1288
7/9/2024,267
7/9/2024,593
7/9/2024,2788
7/10/2024,266
7/10/2024,163
7/10/2024,327
7/10/2024,423
7/10/2024,180
7/10/2024,299
7/11/2024,233
7/11/2024,83
7/11/2024,63
7/11/2024,59
7/11/2024,74
7/12/2024,54
7/14/2024,417
7/14/2024,224
7/16/2024,5
7/17/2024,530
7/17/2024,536
7/17/2024,5
7/18/2024,4
7/18/2024,5319
7/19/2024,11
7/21/2024,5
7/23/2024,6135
7/23/2024,4920
7/24/2024,5
7/25/2024,2319
7/26/2024,184
7/27/2024,5
7/27/2024,8
7/27/2024,47
7/27/2024,9
7/28/2024,12
7/30/2024,457
7/30/2024,1281
7/30/2024,50
7/30/2024,308
7/30/2024,697
7/31/2024,121
7/31/2024,49
8/1/2024,94
8/2/2024,126
8/2/2024,28
8/6/2024,63
8/6/2024,114
8/7/2024,159
8/10/2024,11
8/10/2024,6
8/10/2024,54
8/11/2024,11
8/12/2024,11
8/13/2024,39
8/15/2024,47
8/15/2024,875
8/15/2024,4590
8/15/2024,5
8/15/2024,10
8/16/2024,18
8/16/2024,6
8/16/2024,35
8/20/2024,5896
8/20/2024,5
8/20/2024,10
8/20/2024,165
8/21/2024,32
8/21/2024,25
8/21/2024,0
8/22/2024,5
8/25/2024,26
8/26/2024,9
8/27/2024,5
8/27/2024,11
8/27/2024,43
8/27/2024,53
8/27/2024,90
8/28/2024,6
8/29/2024,154
8/30/2024,23
8/30/2024,163
9/3/2024,479
9/3/2024,3
9/4/2024,11
9/4/2024,418
9/4/2024,101
9/4/2024,5
9/4/2024,5
9/6/2024,43
9/8/2024,177
9/8/2024,9
9/8/2024,94
9/13/2024,422
9/14/2024,11
9/14/2024,25
9/15/2024,6
9/17/2024,5153
9/17/2024,360
9/17/2024,5
9/18/2024,13
9/19/2024,4759
