ID,Date,Walla Walla Union Bulletin,Tri-City Herald,The East Oregonian,The Entertainer,Tumbleweird,Radio,Poster,"Social Media (Facebook, Twitter, Instagram)",Email,Word of Mouth,Gesa Power House Theatre website (www.phtww.org),Other,What is your age group?,What is your annual household income?,"What was your overall impression of this event (quality, lighting, sound, value)?","Please share any other suggestions or ideas that would help us enhance your experience at Gesa Power House Theatre. If you would like someone to respond to your feedback, please include your contact information. Thank you!",Event,Instance
669389870,12/16/2024 9:16 AM,No,No,No,No,No,No,No,No,Yes,No,No,No,66+,"$50,000 or below",It was wonderful,,Celtic Christmas,12/15/2024
669401649,12/16/2024 9:35 AM,No,No,No,No,No,No,No,Yes,No,No,No,No,66+,"$50,000 or below",Excellent ,,Celtic Christmas,12/15/2024
669407298,12/16/2024 9:48 AM,No,No,No,No,No,No,No,No,Yes,No,No,No,66+,"$50,001 - $100,000",We enjoyed the intimate size of the theater. Acoustics were good. Nice to have a place in Walla Walla for that special night out. ,,Celtic Christmas,12/15/2024
669433774,12/16/2024 10:27 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$200,001 or above",the performance was wonderful.  The only issue was the lady sitting next to me decided to get out her cell phone and video tape some of the songs.  This was rude and should be discouraged.  And the astonishing thing is that she sings in the WW Chorale Society.  I am sure the Director whom I know does not want people video taping their performances.  ,,Celtic Christmas,12/15/2024
669444963,12/16/2024 10:47 AM,Yes,No,No,No,No,No,No,No,No,No,No,No,66+,"$50,001 - $100,000",The performing Artists were superb; overall impression was quite good.....,"The Seating is 'quite tight' with not much room for 'Aisle Movement' through other Seated patrons.....

",Celtic Christmas,12/15/2024
669452300,12/16/2024 10:59 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,56-65,"$50,000 or below",Had a very enjoyable time.  The artists were wonderful.  Would go again next year. ,,Celtic Christmas,12/15/2024
669476001,12/16/2024 11:37 AM,No,No,No,No,No,No,No,No,No,No,No,Yes,26-35,"$50,001 - $100,000",Great! ,,Celtic Christmas,12/15/2024
669506983,12/16/2024 12:28 PM,No,No,No,No,No,No,No,No,Yes,No,No,No,66+,"$100,001 - $200,000",It was great,,Celtic Christmas,12/15/2024
669519236,12/16/2024 12:45 PM,No,No,No,No,No,No,No,No,No,No,Yes,No,46-55,"$100,001 - $200,000","Excellent.  Hearing aid app worked great, and nice usher helped me set it up.",,Celtic Christmas,12/15/2024
669628203,12/16/2024 4:00 PM,No,No,No,No,No,No,No,No,No,No,No,Yes,66+,"$50,001 - $100,000",Excellent!,,Celtic Christmas,12/15/2024
669633702,12/16/2024 4:11 PM,No,No,No,No,No,No,No,No,Yes,No,No,No,56-65,"$50,001 - $100,000",Awesome ,,Celtic Christmas,12/15/2024
669651805,12/16/2024 4:44 PM,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,56-65,"$200,001 or above",Excellent in every way. ,,Celtic Christmas,12/15/2024
669666208,12/16/2024 5:12 PM,No,No,No,No,No,No,No,No,Yes,No,No,No,66+,"$50,001 - $100,000",Excellent show! Love to see these ladies again and again!,,Celtic Christmas,12/15/2024
670268626,12/17/2024 4:31 PM,Yes,No,No,No,No,No,No,No,No,No,No,No,66+,,"I thought the lighting was appropriate, the sound well volumed, and quality of the presentation superb. I had a bit of a problem with clarity but that's just my hearing deficiencies.  A great show for the money. ",,Celtic Christmas,12/15/2024
670877112,12/18/2024 3:02 PM,Yes,No,No,No,No,No,No,No,No,No,No,No,56-65,"$50,001 - $100,000",It was a beautiful event! Such talented ladies! ,,Celtic Christmas,12/15/2024
673078198,12/22/2024 8:33 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,36-45,"$100,001 - $200,000","quality, great 
lighting, great
sound, great
value excellent",A balcony overhanging Mill Creek for to purchase drinks & mingling after the show. The lobby gets pretty crowded,The Nutcracker Ballet,12/21/2024
673079078,12/22/2024 8:36 AM,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,36-45,,"Good quality? Lighting, sound. 

I had tickets in rbb and I was not aware my view would be heavily obstructed. If I had known that, I would nOt have purchased the tickets. Those rbb seats should be heavily discounted and it should be clear that only half the stage is visible from those seats. Quite disappointing. ",Rbb seats should have a warning that the view is heavily obstructed and I suggest discounting them 50% based on that. I paid the same price as others who conceivably could see the whole stage. ,The Nutcracker Ballet,12/21/2024
673082280,12/22/2024 8:41 AM,No,No,No,No,No,No,No,No,No,Yes,No,No,56-65,"$50,001 - $100,000",,,The Nutcracker Ballet,12/21/2024
673084327,12/22/2024 8:53 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$50,001 - $100,000","Wonderfully done. Mastered preforming the  Nutcracker on the smaller stage venue. Costumes were gorgeous.
We sat mid balcony, the heating was perfect.
",,The Nutcracker Ballet,12/21/2024
673085849,12/22/2024 8:50 AM,No,No,No,No,No,No,No,No,Yes,No,No,No,66+,"$50,000 or below",Loved it all,,The Nutcracker Ballet,12/21/2024
673098686,12/22/2024 9:21 AM,No,No,No,No,No,No,No,Yes,No,No,No,No,26-35,"$100,001 - $200,000",Couple of the Staff seemed a bit annoyed but otherwise great!,,The Nutcracker Ballet,12/21/2024
673103465,12/22/2024 9:33 AM,No,No,No,No,No,No,No,No,No,Yes,No,No,46-55,"$100,001 - $200,000",Great event,Offer more events with local artists,The Nutcracker Ballet,12/21/2024
673169687,12/22/2024 12:12 PM,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$50,001 - $100,000",They were surprisingly amazing. I look forward to seeing them again next year.,,The Nutcracker Ballet,12/21/2024
673186719,12/22/2024 12:51 PM,No,No,No,No,No,No,No,Yes,No,No,No,No,66+,"$50,000 or below",Wonderful ,I took my 5 year old granddaughter and we thoroughly enjoyed every moment ,The Nutcracker Ballet,12/21/2024
673189662,12/22/2024 1:00 PM,No,No,No,No,No,No,No,Yes,No,No,No,No,56-65,,"Great performance, talented dancers. Theatre was comfortable and temperature was perfect! The wait line at intermission was quite long, most likely from making their wine choices. I wish they didn't serve liquor tho. I will go see THIS show again, but probably nothing else",,The Nutcracker Ballet,12/21/2024
673235455,12/22/2024 2:34 PM,No,No,No,No,No,No,No,No,No,Yes,No,No,56-65,"$50,000 or below",It was wonderful.  Everything was just great.,,The Nutcracker Ballet,12/21/2024
673296644,12/22/2024 4:59 PM,No,No,No,No,No,No,No,No,No,Yes,No,No,56-65,"$50,001 - $100,000",Absolutely fabulous! ,,The Nutcracker Ballet,12/21/2024
673306632,12/22/2024 5:22 PM,No,No,No,No,No,No,No,No,No,Yes,No,No,56-65,"$50,001 - $100,000",fantastic,,The Nutcracker Ballet,12/21/2024
673345167,12/22/2024 7:00 PM,No,No,No,No,No,No,No,No,No,Yes,No,No,36-45,"$100,001 - $200,000",Wonderful! It was a lovely experience,"A wider variety of snack options would be great. One of the women’s bathroom stalls was out of order, so the line was long to use the bathroom during the intermission. That’s the only suggestion I have for improvement. ",The Nutcracker Ballet,12/21/2024
673587991,12/23/2024 8:21 AM,No,No,No,No,No,No,No,No,No,Yes,No,No,36-45,"$200,001 or above",Event was wonderful! Balcony seating was a challenge.,"I would suggest adding additional information regarding the seating arrangements on the balcony level. Some places are difficult to see performance, hard to get into due to others in the AA row (who refuse to stand up) causing a scary experience with the low railing. I would recommend noting the wall next to BB1 and up and you can not exit if needing to. Sign points up to ladies room however when you walk up the stairs above the gentleman room it’s only a dressing from for the actors no public restroom sign is a bit miss leading. Coffee would be an excellent addition to the offerings! ",The Nutcracker Ballet,12/22/2024
673605064,12/23/2024 8:54 AM,No,No,No,No,No,No,No,No,No,Yes,No,No,66+,,This was a very high quality program.  Thanks for making the space available.,,The Nutcracker Ballet,12/22/2024
673618674,12/23/2024 9:25 AM,No,No,No,No,No,No,Yes,No,No,No,No,No,36-45,"$200,001 or above",Excellent ,We sat on the balcony in the third row.  The woman in the first row leaned forward the whole time which made it really hard for us to see.  Maybe a note in the front row balcony seats not to lean forward would be great.  Our kids really struggled and even my husband and I had a hard time seeing the middle of the stage.  ,The Nutcracker Ballet,12/22/2024
673637279,12/23/2024 9:57 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,56-65,"$200,001 or above",Amazing! Loved the ballet and costumes!,,The Nutcracker Ballet,12/22/2024
673653641,12/23/2024 10:35 AM,No,No,No,No,No,No,No,No,Yes,No,No,No,66+,"$50,001 - $100,000","While obviously different from performances we’ve seen in NY, San Francisco and Seattle, it was absolutely charming, well done and all the more so due to the well-done inclusion of all age groups. We took our adult children and our grandchildren and all had a good time - and said so afterward. ",,The Nutcracker Ballet,12/22/2024
673720479,12/23/2024 12:48 PM,Yes,No,No,No,No,No,No,No,No,No,No,No,66+,"$200,001 or above",Average,,The Nutcracker Ballet,12/22/2024
674095184,12/24/2024 7:18 AM,Yes,No,No,No,No,No,No,No,No,No,No,No,66+,,"Costumes were beautiful!  Sound was very good. Choreography was a little lacking, albeit, we are working with the younger set.  For me and I do tend to be more critical, $50 seemed a little steep.  It was an enjoyable evening and I know the revenue is greatly appreciated.  -You asked. ",,The Nutcracker Ballet,12/22/2024
678389243,01/01/2025 8:08 AM,No,No,No,No,No,No,No,Yes,No,No,No,No,66+,"$50,000 or below",Very disappointed!  The replacement comedians were not very good.,,Kira Soltanovich,12/31/2024
678392480,01/01/2025 8:26 AM,No,No,No,No,No,No,No,No,Yes,No,No,No,66+,"$50,001 - $100,000","Headliner didn’t appear! We should have been told upfront when we arrived. We were not told till program started. New headliner was crude and disgusting. If the only material he has is about his gay sexlife, he should find another line of work. Extremely disappointed.",We were told that we would get a 20% discount for the original headliner when she returns. Don’t insult my intelligence. I think we should have been given the option of a full refund or use of existing tickets for headliners return.,Kira Soltanovich,12/31/2024
678402237,01/01/2025 8:34 AM,No,No,No,No,No,No,No,No,No,No,No,No,,,the cancellation was unacceptable. We want our money back. Awful replacements,,Kira Soltanovich,12/31/2024
